thisRow.t,notes,Welcome.started,welcome.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,collectbaseline.started,collectbaselinee.started,key_resp_2.started,collectbaseline.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixationpoint.started,fixationpointt.started,fixationpoint.stopped,instructions.started,instructionsim.started,key_resp_3.started,instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,level1waldo.started,image_5.started,key_resp_14.started,level1waldo.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,whatquadrantiswaldo.started,whatquadrant.started,key_resp_5.started,whatquadrantiswaldo.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,whatquadlv1.started,whatquadrantL1.started,key_resp_6.started,whatquadlv1.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,beat1go2.started,image_3.started,key_resp_12.started,beat1go2.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,level2waldo.started,image_6.started,key_resp_15.started,level2waldo.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,whatquadrantlv2.started,whatquadrantLv2.started,key_resp_7.started,whatquadrantlv2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,beat2go3.started,image_4.started,key_resp_13.started,beat2go3.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,level3waldo.started,image_7.started,key_resp_16.started,level3waldo.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,whatquadlv3.started,whatquadrantlv3.started,key_resp_8.started,whatquadlv3.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,levelup.started,levelupp.started,key_resp_4.started,levelup.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,tryagain.started,image_2.started,key_resp_11.started,tryagain.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,beat3.started,beatt3.started,key_resp_10.started,beat3.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,end.started,image.started,key_resp_9.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.03131695799993395,0.04006504200015115,0.04006504200015115,56.497699125000054,space,56.31343695700025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,56.49774875000003,56.529257332999805,56.529257332999805,60.0384089170002,space,3.4982360409999274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,60.03847320800014,60.05730708300007,70.04360200000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,,,,70.04363925000007,70.05224070800023,70.05224070800023,97.81237212499991,space,27.75671412499969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,97.812430167,97.82224575000009,97.82224575000009,112.59585974999982,space,14.771074791000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.59591387499995,112.60644991700019,112.60644991700019,114.55659937500013,space,1.9439830410001377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.55668108300006,114.56571895800016,114.56571895800016,358.6679220000001,d,244.09539033199962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.6679972080001,358.67772137500015,358.67772137500015,363.48457962500015,space,4.8044249579997995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.4846375000002,363.5086305,363.5086305,374.76247916700004,space,11.251780999999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.7625522080002,374.7699721250001,374.7699721250001,376.784846,space,2.0094347489998654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047270,001,2025-03-16_11h36.43.063,GameInterfacePsychopy,2024.2.4,None,2025-03-16 11h37.07.789977 -0300,
